service_id,date,exception_type
276258031,20241209,2
276258031,20241210,2
276258031,20241212,2
276258031,20241213,2
276258031,20241216,2
276258031,20241217,2
281979001,20241127,2
281979001,20241204,2
281979001,20241211,2
281981032,20241128,2
281981032,20241129,2
281981032,20241202,2
281981032,20241203,2
281981032,20241205,2
281981032,20241206,2
281981032,20241209,2
281981032,20241210,2
284878005,20241202,2
284878005,20241203,2
284878005,20241204,2
284878005,20241209,2
284878005,20241210,2
284878005,20241211,2
284878005,20241216,2
284878005,20241217,2
284878005,20241218,2
284966006,20241205,2
284966006,20241206,2
284966006,20241212,2
284966006,20241213,2
283141002,20241209,2
283141002,20241210,2
283141002,20241211,2
283141002,20241212,2
282013002,20241202,2
282013002,20241203,2
282013002,20241204,2
282013002,20241205,2
282013002,20241209,2
282013002,20241210,2
282013002,20241211,2
282013002,20241212,2
282013002,20241216,2
282013002,20241217,2
282013002,20241218,2
282013002,20241219,2
275315000,20241202,2
275315000,20241203,2
275315000,20241204,2
275315000,20241205,2
275315000,20241209,2
275315000,20241210,2
275315000,20241211,2
275315000,20241212,2
275315000,20241216,2
275315000,20241217,2
275315000,20241218,2
275315000,20241219,2
285123004,20241202,2
285123004,20241203,2
285123004,20241204,2
285123004,20241205,2
285123004,20241209,2
285123004,20241210,2
285123004,20241211,2
285123004,20241212,2
285123004,20241216,2
285123004,20241217,2
285123004,20241218,2
285123004,20241219,2
277085051,20241202,2
277085051,20241203,2
277085051,20241204,2
277085051,20241205,2
277085051,20241209,2
277085051,20241210,2
277085051,20241211,2
277085051,20241212,2
277085051,20241216,2
277085051,20241217,2
277085051,20241218,2
277085051,20241219,2
277313001,20241202,2
277313001,20241203,2
277313001,20241204,2
277313001,20241205,2
277313001,20241209,2
277313001,20241210,2
277313001,20241211,2
277313001,20241212,2
277313001,20241216,2
277313001,20241217,2
277313001,20241218,2
277313001,20241219,2
279546002,20241202,2
279546002,20241203,2
279546002,20241204,2
279546002,20241205,2
279546002,20241209,2
279546002,20241210,2
279546002,20241211,2
279546002,20241212,2
279546002,20241216,2
279546002,20241217,2
279546002,20241218,2
279546002,20241219,2
278927001,20241128,2
278927001,20241129,2
278927001,20241202,2
278927001,20241203,2
278927001,20241209,2
278927001,20241210,2
278927001,20241211,2
278927001,20241216,2
278927001,20241217,2
278927001,20241218,2
282872003,20241127,2
282872003,20241129,2
282872003,20241204,2
282872003,20241205,2
282872003,20241206,2
282872003,20241212,2
282872003,20241213,2
282904004,20241128,2
282904004,20241129,2
282904004,20241202,2
282904004,20241203,2
282904004,20241206,2
282904004,20241209,2
282904004,20241210,2
282904004,20241211,2
282904004,20241213,2
282904004,20241216,2
282904004,20241217,2
282904004,20241218,2
282905054,20241209,2
282905054,20241210,2
282905054,20241211,2
282905054,20241212,2
282905054,20241216,2
282905054,20241217,2
282905054,20241218,2
282905054,20241219,2
