route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
16,281795003,123006432281795003,"MEISER VIA MAELB",1,9682679,012b0016
16,281795003,123006433281795003,"CITY VIA MAELB.",0,9682685,012b0011
16,281795003,123006434281795003,"AIRPORT VIA MAEL",1,9682689,012b0010
16,281795003,123006435281795003,"AIRPORT VIA MAEL",1,9682689,012b0010
16,281795003,123006436281795003,"CITY VIA MAELB.",0,9682689,012b0011
16,281795003,123006437281795003,"AIRPORT VIA MAEL",1,9682689,012b0010
16,281795003,123006438281795003,"CITY VIA MAELB.",0,9682693,012b0011
16,281795003,123006439281795003,"CITY VIA MAELB.",0,9682695,012b0011
16,281795003,123006440281795003,"AIRPORT VIA MAEL",1,9682688,012b0010
16,281795003,123006441281795003,"CITY VIA MAELB.",0,9682688,012b0011
16,281795003,123006442281795003,"AIRPORT VIA MAEL",1,9682688,012b0010
16,281795003,123006443281795003,"CITY VIA MAELB.",0,9682688,012b0011
16,281795003,123006444281795003,"AIRPORT VIA MAEL",1,9682688,012b0010
16,281795003,123006445281795003,"CITY VIA MAELB.",0,9682688,012b0011
17,281795003,123006446281795003,"BORDET STATION VIA MAELBEEK",1,9682681,021b0016
16,281795003,123006447281795003,"AIRPORT VIA MAEL",1,9682685,012b0010
16,281795003,123006448281795003,"CITY VIA MAELB.",0,9682685,012b0011
16,281795003,123006449281795003,"CITY VIA MAELB.",0,9682690,012b0011
16,281795003,123006450281795003,"AIRPORT VIA MAEL",1,9682690,012b0010
16,281795003,123006451281795003,"CITY VIA MAELB.",0,9682690,012b0011
16,281795003,123006452281795003,"AIRPORT VIA MAEL",1,9682690,012b0010
16,281795003,123006453281795003,"CITY VIA MAELB.",0,9682690,012b0011
16,281795003,123006454281795003,"AIRPORT VIA MAEL",1,9682690,012b0010
16,281795003,123006455281795003,"CITY VIA MAELB.",0,9682683,012b0011
17,281795003,123006456281795003,"BORDET STATION VIA MAELBEEK",1,9682695,021b0016
16,281795003,123006457281795003,"AIRPORT VIA MAEL",1,9682693,012b0010
16,281795003,123006458281795003,"CITY VIA MAELB.",0,9682693,012b0011
16,281795003,123006459281795003,"AIRPORT VIA MAEL",1,9682693,012b0010
16,281795003,123006460281795003,"CITY VIA MAELB.",0,9682693,012b0011
16,281795003,123006461281795003,"CITY VIA MAELB.",0,9682681,012b0011
16,281795003,123006462281795003,"AIRPORT VIA MAEL",1,9682693,012b0010
16,281795003,123006463281795003,"CITY VIA MAELB.",0,9682691,012b0011
16,281795003,123006464281795003,"CITY VIA MAELB.",0,9682693,012b0011
16,281795003,123006465281795003,"AIRPORT VIA MAEL",1,9682679,012b0010
16,281795003,123006466281795003,"AIRPORT VIA MAEL",1,9682677,012b0010
16,281795003,123006467281795003,"CITY VIA MAELB.",0,9682692,012b0011
16,281795003,123006468281795003,"AIRPORT VIA MAEL",1,9682677,012b0010
16,281795003,123006469281795003,"CITY VIA MAELB.",0,9682677,012b0011
16,281795003,123006470281795003,"AIRPORT VIA MAEL",1,9682677,012b0010
16,281795003,123006471281795003,"CITY VIA MAELB.",0,9682677,012b0011
16,281795003,123006472281795003,"AIRPORT VIA MAEL",1,9682677,012b0010
16,281795003,123006473281795003,"CITY VIA MAELB.",0,9682677,012b0011
16,281795003,123006474281795003,"MEISER VIA MAELB",1,9682691,012b0016
16,281795003,123006475281795003,"CITY VIA MAELB.",0,9682666,012b0011
16,281795003,123006476281795003,"AIRPORT VIA MAEL",1,9682666,012b0010
16,281795003,123006477281795003,"AIRPORT VIA MAEL",1,9682683,012b0010
16,281795003,123006478281795003,"AIRPORT VIA MAEL",1,9682685,012b0010
16,281795003,123006479281795003,"CITY VIA MAELB.",0,9682685,012b0011
16,281795003,123006480281795003,"CITY VIA MAELB.",0,9682661,012b0011
16,281795003,123006481281795003,"AIRPORT VIA MAEL",1,9682661,012b0010
16,281795003,123006482281795003,"CITY VIA MAELB.",0,9682661,012b0011
16,281795003,123006483281795003,"AIRPORT VIA MAEL",1,9682661,012b0010
16,281795003,123006484281795003,"CITY VIA MAELB.",0,9682662,012b0012
16,281795003,123006485281795003,"AIRPORT VIA MAEL",1,9682662,012b0010
16,281795003,123006486281795003,"CITY VIA MAELB.",0,9682662,012b0011
16,281795003,123006487281795003,"AIRPORT VIA MAEL",1,9682662,012b0010
16,281795003,123006488281795003,"BRUSSELS AIRPORT",1,9682669,012b0258
16,281795003,123006489281795003,"CITY VIA MAELB.",0,9682669,012b0011
16,281795003,123006490281795003,"AIRPORT VIA MAEL",1,9682669,012b0010
