route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
062,EMT,62,Plaza de Cristo Rey - los Puertos,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=62,0178BC,FFFFFF
063,EMT,63,Avenida de Felipe II - Barrio de Santa Eugenia,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=63,0178BC,FFFFFF
064,EMT,64,Glorieta de Cuatro Caminos - Pitis,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=64,0178BC,FFFFFF
065,EMT,65,Plaza de Jacinto Benavente - Colonia Gran Capitan,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=65,0178BC,FFFFFF
066,EMT,66,Glorieta de Cuatro Caminos - Fuencarral,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=66,0178BC,FFFFFF
067,EMT,67,Plaza de Castilla - Barrio de Peñagrande,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=67,0178BC,FFFFFF
068,EMT,C1,Circular 1 - ,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=C1,0178BC,FFFFFF
069,EMT,C2,Circular 2 - ,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=C2,0178BC,FFFFFF
070,EMT,70,Plaza de Castilla - Alsacia,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=70,0178BC,FFFFFF
071,EMT,71,Plaza de Manuel Becerra - Puerta de Arganda,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=71,0178BC,FFFFFF
072,EMT,72,Diego de Leon - Hortaleza,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=72,0178BC,FFFFFF
073,EMT,73,Diego de Leon - Feria de Madrid,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=73,0178BC,FFFFFF
074,EMT,74,Paseo del Pintor Rosales - Parque de las Avenidas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=74,0178BC,FFFFFF
075,EMT,75,Plaza del Callao - Colonia Manzanares,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=75,0178BC,FFFFFF
076,EMT,76,Plaza Beata Maria Ana de Jesus - Villaverde Alto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=76,0178BC,FFFFFF
077,EMT,77,Plaza de Ciudad Lineal - Colonia Fin de Semana,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=77,0178BC,FFFFFF
078,EMT,78,Glorieta de Embajadores - Barrio de San Fermin,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=78,0178BC,FFFFFF
079,EMT,79,Plaza de Legazpi - Villaverde Alto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=79,0178BC,FFFFFF
081,EMT,81,Oporto - Hospital 12 de Octubre,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=81,0178BC,FFFFFF
082,EMT,82,Moncloa - Pitis,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=82,0178BC,FFFFFF
083,EMT,83,Moncloa - Barrio de la Paz,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=83,0178BC,FFFFFF
085,EMT,85,Estacion de Atocha - Butarque,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=85,0178BC,FFFFFF
086,EMT,86,Estacion de Atocha - Villaverde Alto,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=86,0178BC,FFFFFF
087,EMT,87,Plaza de la Republica Dominicana - las Carcavas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=87,0178BC,FFFFFF
088,EMT,88,Canillejas - Rejas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=88,0178BC,FFFFFF
090,EMT,E,Plaza del Conde de Casal - Sierra de Guadalupe,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=E,0178BC,FFFFFF
091,EMT,F,Glorieta de Cuatro Caminos - Ciudad Universitaria,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=F,0178BC,FFFFFF
092,EMT,G,Moncloa - Ciudad Universitaria,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=G,0178BC,FFFFFF
093,EMT,A,Moncloa - Campus Somosaguas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=A,0178BC,FFFFFF
096,EMT,H,Aluche - Campus de Somosaguas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=H,0178BC,FFFFFF
099,EMT,U,Avenida de Seneca - Paraninfo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=U,0178BC,FFFFFF
100,EMT,100,Moratalaz - Valderrivas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=100,0178BC,FFFFFF
101,EMT,101,Canillejas - Aeropuerto - Barajas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=101,0178BC,FFFFFF
102,EMT,102,Estacion de Atocha - Estacion el Pozo,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=102,0178BC,FFFFFF
103,EMT,103,Estacion el Pozo - Ecobulevar,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=103,0178BC,FFFFFF
104,EMT,104,Plaza de Ciudad Lineal - Mar de Cristal,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=104,0178BC,FFFFFF
105,EMT,105,Plaza de Ciudad Lineal - Barajas,,3,https://www.emtmadrid.es/EMTBUS/Mi-linea?linea=105,0178BC,FFFFFF
